popularity,followers,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
95,67326139,0.828,0.621,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986
95,76904299,0.803,0.597,-6.035,0,0.141,0.000619,4.5E-06,0.323,0.331,136.008
95,67326139,0.404,0.564,-7.013,0,0.0344,0.915,0.00252,0.134,0.371,93.631
95,67326139,0.467,0.417,-10.614,0,0.074,0.421,0.000202,0.102,0.171,120.021
95,76904299,0.541,0.734,-4.232,0,0.166,0.0621,0,0.12,0.321,162.304
95,67326139,0.504,0.655,-8.644,0,0.0542,0.604,0.00193,0.364,0.262,99.982
95,76904299,0.912,0.412,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983
95,76904299,0.631,0.788,-7.142,0,0.102,0.371,0.000317,0.108,0.544,157.769
95,67326139,0.516,0.637,-8.832,1,0.0632,0.0433,3.89E-06,0.11,0.324,138.011
95,76904299,0.418,0.546,-9.057,0,0.238,0.227,0,0.229,0.294,160.152
95,67326139,0.418,0.546,-9.057,0,0.238,0.227,0,0.229,0.294,160.152
95,67326139,0.514,0.73,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005
95,67326139,0.553,0.659,-7.295,1,0.0391,0.0027,0,0.105,0.105,120.146
95,76904299,0.891,0.628,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966
95,67326139,0.404,0.524,-8.996,0,0.0593,0.0456,0.00316,0.199,0.168,145.74
95,76904299,0.853,0.637,-5.924,0,0.331,0.129,0,0.267,0.496,86.048
95,76904299,0.502,0.633,-5.8,1,0.419,0.00991,0,0.389,0.552,83.226
95,76904299,0.708,0.547,-7.607,1,0.314,0.727,0,0.159,0.549,83.8
95,76904299,0.573,0.867,-2.876,0,0.168,0.0853,0,0.38,0.231,74.861
95,76904299,0.426,0.862,-5.979,1,0.597,0.0813,0,0.34,0.332,100.3
95,76904299,0.69,0.76,-4.778,1,0.0587,0.0678,0,0.184,0.468,89.958
95,76904299,0.423,0.587,-6.635,1,0.529,0.765,0,0.114,0.33,180.331
95,76904299,0.476,0.161,-11.665,0,0.0407,0.967,0.0381,0.109,0.0908,119.614
95,67326139,0.624,0.424,-8.237,1,0.24,0.286,0,0.173,0.584,76.671
95,76904299,0.605,0.51,-8.094,0,0.423,0.165,8.8E-05,0.104,0.389,65.255
95,67326139,0.583,0.454,-11.091,0,0.0425,0.265,0,0.181,0.309,74.64
95,76904299,0.376,0.841,-4.348,0,0.356,0.0435,0,0.578,0.463,76.052
95,76904299,0.749,0.792,-4.151,0,0.0826,0.292,0,0.109,0.239,144.064
95,76904299,0.714,0.563,-7.574,1,0.0723,0.0266,0,0.0776,0.31,100.091
95,76904299,0.475,0.882,-3.883,1,0.351,0.406,0,0.241,0.369,98.001
95,76904299,0.802,0.725,-5.965,0,0.0676,0.574,0,0.0821,0.598,128.04
95,67326139,0.551,0.405,-12.756,0,0.0398,0.443,0.000217,0.11,0.341,135.017
95,76904299,0.744,0.619,-9.143,0,0.398,0.671,0,0.123,0.317,89.252
95,76904299,0.581,0.716,-4.486,0,0.186,0.181,0,0.201,0.597,145.378
95,76904299,0.761,0.598,-7.249,0,0.182,0.126,0,0.0839,0.446,173.897
95,67326139,0.323,0.737,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26
95,76904299,0.79,0.621,-7.634,1,0.275,0.333,0,0.122,0.15,118.895
95,76904299,0.68,0.712,-7.184,1,0.0453,0.000803,0.000612,0.237,0.0379,100.009
95,76904299,0.473,0.53,-8.506,1,0.249,0.812,6.92E-06,0.227,0.637,74.732
95,67326139,0.628,0.481,-7.775,1,0.475,0.29,0,0.118,0.33,108.761
95,67326139,0.666,0.485,-9.85,0,0.053,0.0355,0.000599,0.504,0.287,91.007
95,76904299,0.41,0.688,-2.228,0,0.0372,0.0331,0,0.205,0.465,189.607
95,76904299,0.594,0.46,-7.607,1,0.382,0.00354,2.71E-05,0.147,0.0541,146.274
95,67326139,0.537,0.587,-7.486,0,0.0771,0.0275,0,0.0961,0.365,149.748
95,76904299,0.735,0.373,-10.478,1,0.104,0.762,0.00202,0.288,0.237,123.081
95,76904299,0.656,0.432,-9.481,0,0.217,0.443,0,0.132,0.0897,97.022
95,76904299,0.914,0.572,-8.82,1,0.166,0.0709,0.00237,0.0599,0.203,123.963
95,76904299,0.825,0.756,-3.687,0,0.383,0.265,2.15E-06,0.0762,0.888,172.938
95,76904299,0.687,0.218,-13.539,0,0.0388,0.85,0.000125,0.106,0.269,91.991
95,76904299,0.518,0.69,-6.15,1,0.107,0.128,0,0.176,0.59,77.837
95,76904299,0.629,0.515,-10.358,0,0.265,0.0267,1.22E-05,0.0888,0.299,121.845
