,Album_Id,Album_Type,Href,Album_Name,Label,Release_date,Release_date_precision,Total_tracks,Uri
1976,5rESCws46ubPJlqOeb30Rv,album,https://api.spotify.com/v1/albums/5rESCws46ubPJlqOeb30Rv,Fuse,Keith Urban - Fuse,2013-01-01,day,13,spotify:album:5rESCws46ubPJlqOeb30Rv
1977,5zseibu9WEsPaZmkJUMkz1,album,https://api.spotify.com/v1/albums/5zseibu9WEsPaZmkJUMkz1,California 37,Columbia,2012-04-17,day,11,spotify:album:5zseibu9WEsPaZmkJUMkz1
1978,0zIb6xazDd72sVT8OtPX3E,album,https://api.spotify.com/v1/albums/0zIb6xazDd72sVT8OtPX3E,The World From The Side Of The Moon,19 Recordings/Interscope,2012-01-01,day,12,spotify:album:0zIb6xazDd72sVT8OtPX3E
1979,1D92WOHWUI2AGQCCdplcXL,single,https://api.spotify.com/v1/albums/1D92WOHWUI2AGQCCdplcXL,Young And Beautiful,Polydor Records,2013-01-01,day,1,spotify:album:1D92WOHWUI2AGQCCdplcXL
1980,3m0MH2qRupmo8waQOwXkrV,album,https://api.spotify.com/v1/albums/3m0MH2qRupmo8waQOwXkrV,B.O.A.T.S. II #METIME (Deluxe),Def Jam Recordings,2013-01-01,day,17,spotify:album:3m0MH2qRupmo8waQOwXkrV
1981,4PwSDqUwhh4sZUHyi7UzXb,single,https://api.spotify.com/v1/albums/4PwSDqUwhh4sZUHyi7UzXb,American Girl,Kemosabe Records/Epic,2013-07-23,day,1,spotify:album:4PwSDqUwhh4sZUHyi7UzXb
1982,2FUsvD1bw53HGOjAg56vRD,album,https://api.spotify.com/v1/albums/2FUsvD1bw53HGOjAg56vRD,RECHARGED,Warner Records,2013-10-25,day,14,spotify:album:2FUsvD1bw53HGOjAg56vRD
1983,48vOVvwuTXRNdiaW8NpAJ3,album,https://api.spotify.com/v1/albums/48vOVvwuTXRNdiaW8NpAJ3,All Over The Road,Mercury Nashville,2012-01-01,day,11,spotify:album:48vOVvwuTXRNdiaW8NpAJ3
1984,6ecx4OFG0nlUMqAi9OXQER,album,https://api.spotify.com/v1/albums/6ecx4OFG0nlUMqAi9OXQER,Smoke + Mirrors (Deluxe),Kid Ina Korner / Interscope,2015-10-30,day,21,spotify:album:6ecx4OFG0nlUMqAi9OXQER
1985,1ItK4KPpbeeHGkBVC8F9r2,compilation,https://api.spotify.com/v1/albums/1ItK4KPpbeeHGkBVC8F9r2,Siłownia 2023,UME - Global Clearing House,2023-07-03,day,58,spotify:album:1ItK4KPpbeeHGkBVC8F9r2
