Id,Name,Followers,Popularity
2qwXeRk8VBAegbUnf3xdyi,Ashley Cooke,71190,58
3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,3418577,65
5E9Xn7QuCD3VYCuBqLxBdY,Baby Lullaby Academy,8158,65
0QrowybipCKUDnq5y10PD2,Amos Lee,461969,61
6nwh8AhPpbwOUnHZJWrHT6,David Allan Coe,831812,57
5qPRgWcEOGRzoIST0sHAiI,Angel Dior,83590,66
0gSAxSvAApQc71cTpoXDFu,Tenille Arts,76076,59
4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,1057720,62
5J6L7N6B4nI1M5cwa29mQG,Alison Krauss,340996,60
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,412206,60
4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,273491,62
1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,691124,64
4njdEjTnLfcGImKZu1iSrz,AWOLNATION,2129929,62
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,33539172,81
6qO6LhD6FuXK5e2PtfAIMz,We Came As Romans,781726,62
2EJ5MRZCzpHSSNNEpTx9Kb,Josh Abbott Band,250386,57
4TPT9nwjRvEV49q7f8p4fy,Alana Springsteen,34063,58
4Icvbp9RDt5aY2TWDOVDsr,Afroman,414770,61
5wugb0kaq0J6nyQ5Xgd17i,Aly & AJ,652223,57
2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",1762415,61
2FRfJyV85zb19tO6uiXBGl,sped up + slowed,7595,70
2HPqVfdPh9JkBSlFG5hK6h,anees,415470,61
7hj7ffJe6UkF1gsMpuweSI,Yungeen Ace,1211301,58
5RZjpmuD14JKXvB8Ry1G1u,Amanda Seyfried,90214,66
2wkoKEfS6dXwThbyTnZWFU,Mau y Ricky,6457565,71
7m4gF38CPATtHrk5HS42WZ,Hillsong Young & Free,1216366,63
5xd2Tg7Zo8755eCy8Gxkp8,Ha*Ash,7747085,73
4tususHNaR68xdgLstlGBA,Of Mice & Men,1227056,60
31HjiqargV4NAw4GZqUale,Ace Hood,1819490,60
3mQBpAOMWYqAZyxtyeo4Lo,KC & The Sunshine Band,898469,64
3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,605858,67
3EA9hVIzKfFiQI0Kikz2wo,Andrea Bocelli,2446137,68
3rs3EOlJ8jyPpdGiQ9Mhub,Monchy & Alexandra,924340,61
4sf4DrAOkheqktxTyKm7tO,AmaLee,431898,59
50hkKRxo0g8Ck4JqlwoJr4,Cochren & Co.,42040,58
2IRfUbSEqoOzedNHXVD1Xb,Carlos Y Jose,388938,61
75JvBeqW4BJ4xgnbMAq6MN,Anne Wilson,114311,57
4vpGVGgxSDcCTmqYbsOnsn,Amber Coffman,15962,61
0id62QV2SZZfvBn9xpmuCl,Aloe Blacc,706853,65
0XJ5RIvhlOL0harjI9jZvX,I AM THEY,199784,59
4xnMDfgEmXZEEDdITKcGuE,Audien,179287,59
2zgG1GPDvjaBgxeQaVXI14,All That Remains,1234673,59
4kJ2OBSNasUA4yOT5NCfCl,"Luis Angel ""El Flaco""",333080,65
2DspEsT7UXGKd2VaaedgG4,Alex Rose,3551399,69
71jzN72g8qWMCMkWC5p1Z0,Alexandre Desplat,299064,63
4C9L4xjlVFB6lsA9v3EfUh,Alameños de la Sierra,339973,63
0WI8OfWCRvK4nGHmKfFQmd,Alex Zurdo,1593704,66
4HrkLxQHZ5mgCtIVpiH5QX,From Ashes to New,376631,61
64EHXDoln95lnccszdPum0,Royal & the Serpent,194032,60
4tvKz56Tr39bkhcQUTO0Xr,Angus & Julia Stone,1225912,65
10gzBoINW3cLJfZUka8Zoe,Above & Beyond,760461,62
0oBEeN6BCxEgMogzThqrPf,Big & Rich,1158916,58
0f3EsoviYnRKTkmayI3cux,Men At Work,1095668,66
2DzRMyWgjuMbYvt5BLbpCo,Anthony Hamilton,1497594,59
58R31AvN8JMHM7xkNpVLjX,Alexis Ffrench,138350,64
0fdpJLsenUo15X3dPPWJSR,Los Angeles De Charly,1171203,65
72kqSqk124Vnl1wtT6q9Fh,Adassa,6555,59
063Vp9es6lLAbFUDtIAkFD,Abraham Vazquez,748175,64
1mHuZMOP8FG5ip4yAb1vrB,Michael Franti & Spearhead,198913,57
5sy77gt4bfsLcSQ8GIe4ZZ,Alan Menken,108351,62
3FMcVBx2TMq2f5gEPcUieC,Josiah and the Bonnevilles,55564,58
5M9Bb4adKAgrOFOhc05Y50,Pablo Alborán,4879962,74
0g9vAlRPK9Gt3FKCekk4TW,Ab-Soul,1029801,58
77CaCn32H4mOMQA7UElzfF,Academy of St. Martin in the Fields,50110,66
4LFOoXhMhnq9U8VsZkSwxl,Edwin Luna y La Trakalosa de Monterrey,3508635,66
0znpFLuaey34oJTE1jHSnT,Alexander Stewart,592514,65
1bDWGdIC2hardyt55nlQgG,"""Weird Al"" Yankovic",754732,58
5l6N2hoIaP7snXdjnCULvk,Luis Alfonso Partida El Yaki,232228,65
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,18702419,82
5J7rXWjtn5HzUkJ4Jet8Fr,Alvaro Diaz,326304,68
32lXHXuhXtdA2j3IDXNND4,Cuisillos De Arturo Macias,553813,65
3Op7D6tFVJCOHW6EAV0ck1,Adventure Time,379392,59
4dwDVC6lrMINxVBxETE1AB,Aaron Frazer,45214,60
1eMmoIprPDWeFdB1FxU6ZV,Au/Ra,495760,65
2AVVj8ezW2mJ0v8u7XydiF,Saving Abel,826900,56
3plJVWt88EqjvtuB4ZDRV3,Ben E. King,523160,65
7E3BRXV9ZbCt5lQTCXMTia,Ólafur Arnalds,731348,64
64H8UqGLbJFHwKtGxiV8OP,THE ANXIETY,159054,61
50sIhX3HytFEwQXZJLUZQE,Alejo,84092,67
4TJVQinD20ZEoJXSuV6IU5,Abbie Gamboa,13645,57
6cnl6Jz97730GUS8zEAK77,Los Plebes del Rancho de Ariel Camacho,4339929,66
1PpDfXOUG7gxUjR1quWnwp,Amanda Reifer,8898,61
6TZdvF1kFzwnQLgHQynzsO,Alien Ant Farm,762859,60
3Lg3FGwBxOGuefqekQzRUf,Jason Isbell and the 400 Unit,209915,57
738OS3zrCO782uDiUN9pet,Lee Ann Womack,707883,57
13saZpZnCDWOI9D4IJhp1f,Lily Allen,1986921,67
2T06whb4s6UiufL1j5Qtz9,José Alfredo Jimenez,1913073,64
4MSMDY0ClgWqXApU53I1L1,Matt and Kim,394703,56
7zkwepHPyac6tCYl0fL0co,ASTN,268604,61
7E2ioKxoxI2J94tUkIx6As,Alex Isley,146738,58
05RZIdfz59ZW2FvFuwnmNK,K-Ci & JoJo,1529821,60
4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,3821607,68
06TVTkMAOR935MhkjX0i2A,Anthony Santos,910707,60
7eLcDZDYHXZCebtQmVFL25,Aitana,2610030,75
7giUHu5pv6YTZgSkxxCcgh,Edward Sharpe & The Magnetic Zeros,1021655,62
4pnp4w9g30yLfVIAFnZMRd,ACRAZE,93498,68
0TeVa4xdLB8vdzjsvKH6Ri,Anahí,739691,69
4RwbDag6jWIYJnEGH6Wte9,Drew Holcomb & The Neighbors,133743,58
6yhD1KjhLxIETFF7vIRf8B,Against The Current,458180,65
69fyBUeaP6u5zUKxhJi2wo,Seth Anthony,51557,55
50tDsT4wwq8FCMJNkn1D67,AViVA,434739,60
3U7k7hBsHF9dy4ELW53Wrv,John Anderson,456222,55
1A0WloDoRE88uUwo3wensY,Taylor Acorn,150617,57
2PpOrMC4P8PG2yi0S3ft0l,Los Amos De Nuevo Leon,518463,58
1rSGNXhhYuWoq9BEz5DZGO,ARTY,185248,60
5ct8AlcDgWMp4O25vbcjpC,Assassin's Creed,28824,62
1vkWdqcabQ1swciXipkLBj,awfultune,334077,60
2fSaE6BXtQy0x7R7v9IOmZ,Aesop Rock,416311,56
7sQ3Q6yYyg0SdpEezJN8UT,El Coyote Y Su Banda Tierra Santa,1453600,61
70nxnxEqDQIEWneRjg2Q4O,Adolescent's Orquesta,810395,68
5Wg2b4Mp42gicxEeDNawf7,A7S,48579,69
5TLQArskPwpPQULjjE2tsW,Alex Lacamoire,11828,57
